,index,Year,Country,GDP_CAP,refugees_asylum,continent
123,3677,2021,Switzerland,91991.60046,125938,Europe
124,3707,2021,Tajikistan,897.0475103,13770,Asia
125,3739,2021,Thailand,7066.190546,101187,Asia
126,3778,2021,Togo,973.2061291,11493,Africa
127,3793,2021,Trinidad and Tobago,16032.50277,25193,North America
128,3825,2021,Tunisia,3807.13915,9326,Africa
129,3862,2021,Turks and Caicos Islands,20908.5827,7,North America
130,3894,2021,Uganda,883.8920323,1573291,Africa
131,3922,2021,Ukraine,4835.571777,5101,Europe
132,3951,2021,United Arab Emirates,44315.55418,8558,Asia
133,3983,2021,Uruguay,17313.18835,14396,South America
134,4012,2021,Uzbekistan,1983.064723,13032,Asia
135,4016,2021,Vanuatu,2996.621062,5,Oceania
136,4048,2021,Zambia,1137.343633,79548,Africa
137,4080,2021,Zimbabwe,1773.920411,21434,Africa
