,Country,Year,GNI_perc,ODA_mil,GNI_bil
0,Australia,2020,0.2211729090567064,2868.76,1297.06663091567
1,Austria,2020,0.30093986566088965,1321.38,439.084398837667
2,Belgium,2020,0.4478915321811784,2376.38,530.570423697745
3,Canada,2020,0.29936715211950143,4870.85,1627.04891485745
4,Czechia,2020,0.12799631788504798,299.14,233.709848019733
5,Denmark,2020,0.7201703403412002,2640.86,366.699355981367
6,Finland,2020,0.46229148540029963,1277.89,276.425164719067
7,France,2020,0.597508316375645,16013.14,2679.9861292529304
8,Germany,2020,0.7322418409839339,29320.38,4004.19347255565
9,Greece,2020,0.1731012051811974,325.44,188.005623449784
10,Hungary,2020,0.27231361879815685,417.88,153.45541726642
11,Iceland,2020,0.2747449975873251,57.9,21.074087065624198
12,Ireland,2020,0.3081255869477635,987.79,320.58032238895504
13,Italy,2020,0.22889345749150292,4395.87,1920.48739539145
14,Japan,2020,0.26154461032795956,13660.18,5222.88720951697
15,"Korea, Rep.",2020,0.13823013884639096,2292.78,1658.66866599032
16,Luxembourg,2020,0.8851753437391333,452.34,51.101739694786104
17,Netherlands,2020,0.6089314338282249,5358.94,880.056390964983
18,New Zealand,2020,0.2545685094985178,529.74,208.093295216895
19,Norway,2020,1.113793571454549,4195.68,376.701761217807
20,Poland,2020,0.14079719713937744,811.95,576.680513885683
21,Portugal,2020,0.1865013876104322,420.5,225.46749136169902
22,Slovak Republic,2020,0.13396276855034073,141.2,105.402420036534
23,Slovenia,2020,0.17007607772618907,90.73,53.3467147249651
24,Spain,2020,0.21399080131854548,2739.27,1280.08773420234
25,Sweden,2020,1.1214145931793202,6348.35,566.101960738874
26,Switzerland,2020,0.5130142857578118,3720.82,725.285845501105
27,Thailand,2020,0.01463311743871378,71.44,488.207658410479
28,Turkiye,2020,1.142713484563212,8123.52,710.8973605142249
29,United Kingdom,2020,0.72823383379958,19253.43,2643.85271685946
30,United States,2020,0.1648463885665106,35396.41,21472.36
